artist_name,track_name,release_date,genre,lyrics
Fabolous,Think Yall Know,2003,rap,"You ain't never seen a nigga this large Motherfuck the house, the nigga's garage is as big as the projs I move from city to city like a nigga at large Smooth as Billy D, but it's Jigga's da bars Like you really gon' get me You look hard, but on the inside you softer than a silicon titty The chilla's wrong with me You can look at the kid and see just how them Chinchillas gonna fit me I strut through like I conceal a chrome with me Pockets bulgin like I got some millions with me Any bitch that chill or jones with me End up butt ass naked inside a Villa home with me I got a ziplock the killer grown with me A hit of this Bobby 'll let me feel up on Whitney Justin will cry rivers like he feel I boned Britney I really don't get me, I really won't get me YEAH!   I think y'all know by now that I ain't nothin' to be fucked with"
JAY-Z,DEvils,1996,rap,"""Dear God – I wonder, can you save me?"" ""Illuminati want my mind, soul and my body"" ""Dear God – I wonder, can you save me?"" ""Secret society, tryna keep they eye on me"" ""Dear God – I wonder, can you save me?"" ""Illuminati want my mind, soul and my body"" ""Dear God – I wonder, can you save me?"" ""I can't die, I can't die, I can't die""   This shit is wicked on these mean streets None of my friends speak, we're all tryna win But then again, maybe it's for the best though 'Cause when they're sayin' too much You know they're tryna get you touched Whoever said illegal was the easy way out Couldn't understand the mechanics And the workings of the underworld, granted Nine-to-five is how you survive, I ain't tryna survive I'm tryna live it to the limit and love it a lot"
JAY-Z,December 4th,2003,rap,"Shawn Carter was born December 4th, weighing in at 10 pounds, 8 ounces. He was the last of my four children. The only one who didn't give me any pain when I gave birth to him. And that's how I knew that he was a special child.   They say ""They never really miss you 'til you dead or you gone."" So on that note, I'm leavin' after this song So you ain't gotta feel no way about Jay, so long But at least let me tell you why I'm this way, hold on I was conceived by Gloria Carter and Adnis Reeves Who made love under the sycamore tree Which makes me a more sicker MC, and my momma would claim At 10 pounds, when I was born, I didn't give her no pain Although through the years I gave her her fair share I gave her her first real scare, I made up for birth when I got here She knows my purpose wasn't purpose; I ain't perfect, I care But I feel worthless 'cause my shirts wasn't matchin' my gear Now I'm just scratchin' the surface 'cause what's buried under there Was a kid torn apart once his pop disappeared I went to school, got good grades, could behave when I wanted But I had demons deep inside that would raise when confronted Hold on"
Big L,98 Freestyle,2000,rap,"Yo, fuck all the glamours and glitz, I plan to get rich I'm from New York and never was a fan of the Knicks And I'm all about expanding my chips You mad 'cause I was in the van with your bitch With both hands on her tits Corleone hold the throne, that you know in your heart I got style plus the way that I be flowing is sharp A while back, I used to hustle, selling blow in the park Counting G stacks and rocking ice that glow in the dark Forever hottie hunting Trigger temper, I'm quick to body something You looking at me like I'm probably fronting I fuck around and throw three in your chest and flee to my rest I'm older and smarter, this is me at my best I stopped hanging around y'all 'Cause niggas like you be praying on my downfall Hoping I flop, hoping I stop You probably even hope I get locked Or be on the street corner with a pipe, smoking the rock I got more riches than you, fuck more bitches than you"
Birdman,What Happened to That Boy?,2002,rap,"Ayy-ayy, ayy, ayy Yeah Tote 'em up, light it up, nigga (Tote 'em up, light it up, nigga, put it in the air, mo—) (Birdman, motherfucker) Birdman, motherfucker, fucker Clipse (Clipse), VA (VA) NO, nigga (NO, nigga) What you smell? (Money smell) Coca leaf plants, boy (Coca leaf plants, bitch) Coca leaf plants straight off the border, motherfucker Ayy-ayy, yola, come on, little'un', handle your business for me, boy   (Brrrrrrrrrrr!) What happened to that boy? (Yeah) (Brrrrrrrrrrr!) What happened to that boy? (Brrrrrrrrrrr!) What happened to that boy? He was talking shit, we put a clap into that boy (Brrrrrrrrrrr!) What happened to that boy? (Whoa) (Brrrrrrrrrrr!) What happened to that boy? (Yeah) (Brrrrrrrrrrr!) What happened to that boy? (Malicious) He was talking shit, we put a clap into that boy (Yeah)"
JAY-Z,Its Hot Some Like It Hot,1999,rap,"Yo, show closer, J-to-the-A-Y-Hovah Place shutter down, who the fuck'll fuck around? Game spitter, Range sitter, Bentley driver nigga Keep a full clip, I have to empty out on niggas Ho bagger, no slacker, get this shit jumping Like eight blacks, four crackers, get your ass jumped Cris' sipper, six dipper, wrist glitter nigga Gat buster, ass toucher.. clit licker Go against Jigga your ass is dense I'm about a dollar, what the fuck is 50 Cents? Hot shit, kick a nigga, turn these mics out My jewelry so bright you can turn these lights out Hova's like Noah keep two in the truck I'm like U-Haul; every bitch moving I fuck You move slut, I gotta put two in your butt I'm everything: the when's, why's, who's, and what Nigga what?  Hell no you can't stop it, when it's hot it's hot My grind, keep me jumpin' out of drop to drop"
Cam'ron,Losing Weight Pt. 2,2002,rap,"Ayo, fuck losing weight I'm back on these highways moving cakes Life's based upon what I'ma do today Cop a car, new estate Nah, fuck it get the beef and brocs: blue and gray Baby due today I got to move an eighth Fuck the scrutiny Y'all niggas screwing me Killa never let the drama slide Y'all gon' hear a nigga momma die Yell out ""homicide""   Yo, 18 months? Please, that ain't facing time I'm stressed anyway, need it for vacation time I'ma do the right thing though, take shock anyway 6 months, right back on the damn block anyway But look, money from across the street Think it's sweet, think he get money across the street"
JAY-Z,Its Like That,1998,rap,"Yeah, uh-huh, watch this y'all Uhh, watch this y'all C'mon, Jigga, watch this y'all C'mon, Roc-A-Fella y'all.. Huh! Watch this y'all It's  Kid Capri and Jay-Z, come on! It's Jay-Z and Kid Capri, don't stop, huh-huh! 'Cause I'm like that y'all, yeah I'm really like that   As a young'un, dumb and gun in the waist Sold crack to those who couldn't take the pain And had to numb it with base Couldn't drink the Henny straight, I needed somethin to chase Nowadays I throw shots back, leavin' nothin' to waste Life's like a treadmill, niggas runnin' in place Gettin' nowhere fast, a whole year done past I vowed to never stop winnin', 'til the earth stop spinnin' Rock hot linen, cop hot cars and hot women"
Cam'ron,More Gangsta Music,2004,rap,"Gangsta Music, part two Dipset Killa, Heatmakerz, Juelz Santana (C'mon man!) Let's do it   Can I get a (Jeah!) here! (Jeah!) There Everywhere a (Jeah! Jeah!) Up, down, left, right (Jeah! Jeah! Jeah! Jeah!) Shorty's moving again (Jeah!) Shorty's loose with the pen (Jeah!) Shorty do it to win (Jeah! Jeah! Jeah! Jeah!)   Say I walk around like I got a S on my chest TEC on my left, gangstas with me ready to step (Jeah!) I like a chick with big breasts on her chest Not flat, looking like somebody stepped on her chest (Jeah!) What! (Jeah!) Shit! (Jeah!) Fuck! (Jeah!) Bitch! (Jeah!) You so crazy! (Jeah! Jeah! Jeah! Jeah!)"
Lil Wayne,Mr. Carter,2008,rap,"Yo, yo Drew and Inf This-this, this right here is crazy Yo I, I feel big, you know what I mean? Like, not, not big in the sense of, weight You know what I mean? Like gainin' weight or nothin' like that Like colossal Like, you know what I mean, like (sighs) I heard you were lookin' for me   Hey, Mr. Carter (Hello) Tell me, where have you been? (Haha, you know, hehe) Cause they've been asking, they've been searching They've been wondering why (I know, haha) Hey, Mr. Carter (Hey, hello) Tell me, where have you been? (Shit, you know) Cause they've been asking, they've been searching They've been wondering why (Hahahah)  Yeah, to you forever, from me to you"
The Coup,The Liberation of Lonzo Williams,1993,rap,"1986 a motherfucker doing tricks in the mix and I don't mean the fader Face of zits but getting grits with black steel firesticks Trying to build an Empire something like Darth Vader Now Lonzo was armed with nothing but a mean mug (But tucked a forty-five, with forty-five slugs) He was a jitterbug thug, at the dance, cuttin a rug (Treatin his sisters like a hooker) Greetin his partners with a hug Breakdown shakedown, this brother would take pounds Of soon to be cake grounds, and then go make rounds Firearms protected wads of gorgeous green Paper stacks of paid tax off of broken dreams At puberty his liberty was found within a ki Rocks were cookin but he's lookin for a way to be free Here's a ki (there's a ki) but Lonzo, where's yours? There's no key to the door, but there's money on the floor (So stoop down) bend over (hurry pick it up fast) But watch out, Lonzo -- YOU'LL GET FUCKED IN THE ASS   "
Eminem,Encore / Curtains Down,2004,rap,"Sh-sh-sh, Shady! Aftermath! Haha! G-G-G-G, G-Unit! Haha!   ’Cause we came here to set this party off right Let’s bounce tonight And if they don’t let us in through the front We’ll come through the side ’Cause I don’t ever wanna leave the game Without at least saying goodbye So all my people on the left, all my people on the right Swing one last time   Get your ass up for the doctor, one more time Get your ass up for the doctor, come on now Here we go, cliff hanger, it’s another club banger Got ya' hangin’ on the edge of your seat, get on down  "
Anybody Killa,Foo Dang,2002,rap,"Why you tryin to play me, foo dang? (Foo Dang) Just cause I wanna let my nuts hang Teeth bang on the streets servin heads all night Some of us just ain't livin right   I know this stupid bitch who think she know me She even wanna call me Blaze Her Dead Homie Bitch keep ya mouth shut cause ya foo dang Couldn't hold my balls, couldn't hold my wang Stank hoes wanna see me in the grave But I'm quick to slap a trick wit a 12 gauge You know you was speakin my name, playin games And sayin things you know he's actin like something changed But I know you are reppin your fancy car Little money, foo dangin at the tittie bar (Bitch!) 7 dicks shoved in her box nightly, is she fucking? (Is she fuckin?) For the right price she might me Stank hoe, I never paid for ass So take a stray cat, and shove it in ya flat ass"
AZ,Love Is Love,1998,rap,"AZ Ha, ha, ha, new drink, Baileys and Henny You ain't got no Henny, get the Remy You ain't got the Remy, any cognac'll do Smooth criminal shit baby   Keyser Söze intention Glide in a Hummer wit the flying saucer engine Willied out, at my crib in the winter having cookouts Smack my wiz, look out I'm like Barnabas, crab niggas trying to conquer us They mad 'cause we jump out of cabs and hop on the bus Copping dust, Firm Clique rock the whole Metropolis Bitches who burn dick won't put a stop to us Niggas who-   See; this is what I mean When we come together like this incredible things take place See we connect thoughts to collect shorts"
AZ,Sunshine,2004,rap,"Once again, firm affiliation Like we say; the show must go on   Sunshine - we hustle to the moon light Reminisce on a good time Cop come on boget  Yo when times get trifle I'm subjected to street survival See many never complete they cycle Other retreat to bibles, living holy But currency seem to control me, moving coldly In the presence of old parolies My mind mold me, keep me in mack mode like Goldie Police know me, but ain't got enough to hold me I follow rules, through the knowledge, swallow jewels A form of teaching, from the streets never taught in school You caught you lose, a wise man utilize tools Solitude certifies all moves"
AZ,Time,2004,rap,"At the ripe age of 24, I done seen it all, done it all Some dreams stay fresh and some are spoiled Dealin' with time, winter, spring, summer, fall It's crazy changes, is this that made me famous? I come a long way from Timbs, minimum wages Stockin' caps, summer jobs, pockets flat It's funny how my childhood idols now be coppin' crack I ain't knockin' that, unfortunately, life's too short to see It's only right we move accordingly at every second I use to carry heavy weapons Previously cocked, tucked in my shirt for every session But hold up, a 2-6 bid made me grow up Came home to the same damn dreams with no luck And half the clique's strong, the other half moved on Some with new lives and new wives, niggas live long The foulest thing about time - it still ticks when you gone   For those who live the way I live, we came a long way From wipin' cold outta eyelids to rap's hottest"
AZ,Hey AZ,1997,rap,"What's the deal, son? It's the world famous AZ Show (For the world), AZ Show, Show, Show   No doubt, time to mellow out, party at the yellow house Yell it out, invites only, don't tell no slouch How you feel around some made cats, really on chill Laid back with the Alizé, millis concealed Conversating like some more pimps caught in the mix Wasn't taught shit, stressed out, supporting your bitch Let the ice shine, easing my mind with white wine Assured lifeline, squeezing my nine the right time Camouflage life, feds almost bagged the god twice Bizarre nights, move on the grace of Allah's light All Armani white, feeling like Christ with the army type Cons be writing, knowing my life is based upon the hype Burning incense with intents to school the infants The rules are different, so for those that choose to listen It's a dice game, never know, plans might change Stay in your price range, far from the stress of night pains"
Gucci Mane,Colors,2008,rap,"Blue and white Charger Same color the Dodgers Crayola car same color as a marker Red '74 same color as a Cardinal Fat bank rolls like I robbed Wells Fargo Black Bentley coupe same color as some charcoal Clear through top same color as a dope boy Off-white Jag same color as the yayo Pure white guts same color as some mayo Transformer Benz Decepticon like Legos Sixes got my donk sitting like a Winnebago Paint like Play-Doh The alfredo Lambo The shrimp scampi Chevy and the guts look like egg yolk   Colors, colors All my ice is colors, colors I live my life in colors, colors And my girls is colors, colors"
Big Tymers,Broads,1998,rap,"See these broads, I like 'em and shit Wish I could give all these hoes a picture-of-my dick See I like em and psyche em, then I get in the win I might just need you and leave you at a quarter past ten, but I ain't gonna lie, your pussy was good But your mouth is better so I wish you would Work your way down to the diznick It feels so good when you do the liznick You got me doing push-ups and I'm taking ginseng (Let's get ready to rumble!) In the middle of the ring You got my dick hard like a '57 Chevy Rocked up, ya cocked up, cause I'm ready To go up in ya, let that other nigga send ya Cards and shit while you suckin' my dick I like you a little bit more than I'm diggin' my shirt Ya little pretty ass dick suckin' expert, beeyoch!   See I love these broads but I toss em up quick Every trick that I get, they get flipped through the clique"
Lil Wayne,Fly Out,2005,rap,"We here I said we here The back of Tha Carter, yeah The back of Tha Carter Two, uh Yeah This here is The end of Tha Carter Two, people Hey, yeah   I got the game on ball and chain I threw the key in the drain, I'm like a key in a drought I spent a G on these frames, but my vision is priceless Seeing through you niggas like a fuckin' psychic Hearing through the grapevine, niggas wanna hate mine Say my name and die in the daytime You catch my drift, man, you better be Peyton Boy, the heat's on, they makin' peace bonds I'm in this bitch throwin' up the ""17th"" sign"
Lil Wayne,Im Blooded,2007,rap,"Pi' 'til I die Just because! Pi' 'til I die Piru B's up Bitch, I'm me   Young Money is the label, let us in the door Coming in this bitch, all red to the floor And I'm Blooded—soo-woo! And I'm Blooded—soo-woo! I got Bloods on stage, Bloods at my shows Fuck with my Bloods, got blood on your clothes And I'm Blooded—soo-woo! And I'm Blooded—soo-woo!   Once again, it's on—yeah, I'm back in the booth Stand at the top like a tack in the roof"
Fabolous,A Milli,2009,rap,"It's time to get money I got a million reasons why I'm better than them (a million) Yeah (I'm about to give you one right now) It's Loso in case you ain't know so baby; let get right into it  What's really the dilly with these silly muhfuckas Buncha fake ass Milli Vanilli muhfuckas Yet still these muhfuckas say they feel these muhfuckas But I only smoke Dutches I don't feel these muhfuckas They gon pull and shoot what? No really muhfucka You gon run, prolly pull ya achilly muhfucka Nigga please, you wouldn't pop a wheelie muhfucka You wouldn't raise the heat if you was chilly muhfucka I will kill these muhfuckas Till' these muhfuckas know that I Am Legend Call me Big Willy muhfucka I'm wit Freck Billi and some West Philly muhfuckas And you can be a vic if you get silly muhfucka So if you feelin froggy leap that lily muhfucka"
Ghostface Killah,Big Girl,2006,rap,"Every girl that's guilty of waiting so long, sometime So it seems like it doesn't make sense       Yeah, it was them cute pretty bitches that was smelling like coke They kept going  like they had shit in they throats They had stacks on the tables, cables I had to say it was like early May A few days 'til my birthday date, baby date I'll play to the sucker DJ, looking like Enrique Told him to throw in that Supreme Cliee-ente He said just gave a nod with a thumbs-up wink I just put down my dollar bill, took off my mink Bartenders know we big spenders, gave us those mobster drinks Sent us lobsters and cigars that stink Playing them oldie-but-goodie classics, them honies had fat asses"
Wu-Tang Clan,C.R.E.A.M.,1994,rap,"What that nigga want, God? Word up, look out for the cops though (Wu-Tang five finger shit, fam) Cash rules- Word up, two for fives over here, baby Word up, two for fives, niggas got garbage down the way Word up, know what I'm sayin'? Cash rules everything around me, C.R.E.A.M. get- Yeah, check this old fly shit out, word up (Cash rules everything around me) Take you on a natural joint (C.R.E.A.M. get the money) (Dollar dollar bill, y'all) Here we, here we go, check this shit, yo   I grew up on the crime side, the New York Times side Stayin' alive was no jive Had secondhands, Mom's bounced on old man So then we moved to Shaolin land A young youth, yo, rockin' the gold tooth, 'Lo goose Only way I begin the G off was drug loot And let's start it like this, son"
The Notorious B.I.G.,Warning,1994,rap,"Who the fuck is this, pagin' me at 5:46 in the morning? Crack of dawn and now I'm yawnin' Wipe the cold out my eye See who's this pagin' me and why It's my nigga, Pop from the barbershop Told me he was in the gambling spot and heard the intricate plot Of niggas wanna stick me like flypaper, neighbor Slow down, love, please chill, drop the caper Remember them niggas from the hill up in Brownsville That you rolled dice with, smoked blunts and got nice with? Yeah, my nigga Fame up in Prospect Nah, them my niggas, nah, love, wouldn't disrespect I didn't say them They schooled me to some niggas that you knew from back when When you was clockin' minor figures Now they heard you're blowin' up like nitro And they wanna stick the knife through your windpipe slow So, thank Fame for warnin' me, 'cause now I'm warnin' you I got the MAC, nigga, tell me what you gonna do "
AZ,Never Change,2005,rap,"- Yo A what's goin' on? - Yo yo, what up baby boy? - Ohhhhh - Hahaha - What's the deal my nigga? - Look at you, uh huh, you lookin like money - You know what it is - Yeah - You know what it is - Yeah - It's been 2 or 3 years, right? - I know, it been a minute right? - I know man, listen here - It's all good though, you know I'm maintaining - You lookin' good though baby boy - I mean whatever, lets get it poppin' - Alright, well I'm with you, gimmie your number - No doubt, no doubt - Here go my number right here "
Young Money,Steady Mobbin’,2009,rap,"Man, fuck these niggas! I'ma spare everything but these niggas I flip the gun and gun-butt these niggas Take the knife off the AK and cut these niggas (Kane is in the building, nigga) Yeah, and fuck these bitches I swear I care about everything but these bitches I don’t care, I ""so what"" these bitches And I put Young Mula, baby, way above these bitches Ha! If it ain’t broke, don’t break it And-And-And if he ain’t shook, I’m gon' shake him Hope I don’t look weak, 'cause when a wolf cry wolf You still see that wolf teeth, mothafucka Ha! Fu-Fu-Futuristic handgun If you act foul, you get two shots and one, haha I'm at your face like Lancôme, haha You niggas softer than Roseanne's son, hey You cannot reach me on my Samsung I'm busy fuckin' the world and givin' the universe my damn tongue Ha, crazy motherfucker, I am one, ha But the crazy thing is, I began one"
Lil' Kim,Suck My Dick,2000,rap,"Love me when I'm broke or when I'm filthy fuckin' rich   To all my motherfuckin' gettin' money hoes Boosters, sellin' clothes And all my ghetto bitches in the projects Comin' through like bulldozers No, we ain't sober Bum bitches know better than to start shit Niggas love a hard bitch One that get up in a nigga's ass quicker than an enema Make a cat bleed then sprinkle it with vinegar Kidnap the senator Make him call his wife and say he never comin' home Kim got 'em in the zone, beatin' they dicks Even got some of these straight chicks rubbin' their tits What? I'm lovin' this shit, Queen Bitch! What bitch you know can thug it like this? Imagine if I was dude and hittin' cats from the back With no strings attached, yeah nigga, picture that"
Clipse,Comedy Central,2002,rap,"Say dawg, let's not get involved You don't wanna tango, I'll dress you in a halo Cock the gauge, polka dot your braids Face you with a chrome 4 that'll lock your legs And you can't move, I roll big and I can't lose They watch so hard, ain't nothing I do that ain't news Carry it like I'm a stranger to the game I cut short any whisper that endanger my name I hold toasts on both coasts, not for no joke I'm known in the streets on the account I know coke And we got word that the cops watch us But that don't stop us, we maneuver and move a little more cautious I hate to think that the dope game is my callin' Cause it got us singing lullabies to our fallen: ""Good night friend, 'til we meet again But for now in your name, we re-up and eat again"" Uh, I never front like I'm something I'm not But being broke, well that's just something I'm not Y'all talk with hatred, but I live off that And I lived off cocaine way 'fore I lived off rap"
Re-Up Gang,Im a Hustla,2006,rap,"I'm a hustla, I'm a I'm a hustla homie '97 had a brick by the muffler crony Wholesale to my select preferred customers only The white horse cooked tan you can call it the pony It's only the soft it twists like a wrestler on me It hardens, it cools I prove I'm a juggler whoadie Glock popped got it cheap I'mma smother you Hovered and govern the corner you hugged then I shuffle you roadie Face it they change, the game's never loving you sorry You live for the moment it's gone then they cover you homie Back against the wall, post up never fall Never fail, keep a burner close you can fend them off Get that 10 up off the car and you let it off Sort of like Avon and Marlo when you set it off  Nigga it's war till the metal's off  Nigga we ride till the pedal's off   Vicious with the verse I’m as genius as Ray You niggas seeing nothing on the Zenith like Rae"
Lil Wayne,Carter II,2005,rap,"So you made it this far We upstairs I let you up here You special Marley, don't shoot 'em You know what this is It's still Tha Carter II, people It's still Tha Carter II, people Yeah, you're still in Tha Carter II, people Hey, yeah   All I have in this world is a pistol and a promise A fistful of dollars, a list full of problems I address 'em like P.O. boxes Yeah, I'm from New Orleans, the Creole cockpit We so out of it, zero tolerance Gangsta gumbo, I'll serve 'em a pot of it I'm wealthy, still fuckin' with that block shit Wet your ass up head to feet 'til your socks drip"
Lil Wayne,Ride for My Niggas Sky is the Limit,2007,rap,"Ahem Weezy F Young Money, Cash Money This is Da Drought 3, ladies and gentlemen And you know me Let's go   You know I ride for my motherfucking niggas Most likely, I'ma die with my finger on the trigger They tell me, ""Don't get high"" and I should try to make a living I tell 'em I'm a hustler, and I'd rather make a killing   My eyes get so wide as it rise in the skillet I let my bitch bag it; if she steal it, I'ma kill her I bulletproof the ride, now I feel like armadillos And fuck your hospital — Young Money, we the illest And I ain't gotta lie when I tell you I'm the illest My flow is nasty, like C-Y-philis"
Birdman,Pop Bottles,2007,rap,"Start with straight shots and then pop bottles (yeah) Flirt with the hood rats then pop models (uh-huh) Start with straight shots and then pop bottles (yeah) Flirt with the hood rats then pop models Okay we poppin' champagne like we won a championship game Look like I got on a championship ring 'Cause I ball hard, no bitch, we ball harder I am the Birdman, and I'm the J.R.-ah   Okay, start with straight shots and then pop bottles Pour it on the models, shut up bitch, swallow If you can't swallow, shut up bitch, gargle Straight up out that water with my Marc Jacobs goggles I'm fresher than a muh'fucker, yep I'm a muh'fucker No I wouldn't take your girl but I'll sure take her tongue from her Can't you tell I'm in love woman, like no other woman? Oh I'm sorry sweetheart, I thought you were my other woman My bad! "
